date;category;type;description;_category;_subcategory;amount;transaction_id;mcc_code
2025-12-02;CASH;CARD_TRANSACTION;PASS;CHARGES_VARIABLES;TRANSPORTS_COMMUN;-54.000000;019adf62-6b75-79f9-bbd6-de00587246dd;7991
2025-12-02;CASH;CARD_TRANSACTION;RIGOLETTO;ALIMENTATION;RESTAURANTS;-42.000000;019ade15-8d86-720b-b900-51f953fba909;5812
2025-12-02;TRADING;BUY;Savings plan execution LU1681048804 Amundi Index Solutions - Amundi S&P 500 Swap UCITS ETF EUR Acc, quantity: 0.128430;EPARGNE;INVESTISSEMENTS;-15.00;47d7d2b0-368e-4ce3-bb41-34605069a0bc;
2025-12-02;TRADING;BUY;Savings plan execution LU1681048804 Amundi Index Solutions - Amundi S&P 500 Swap UCITS ETF EUR Acc, quantity: 0.428100;EPARGNE;INVESTISSEMENTS;-50.00;531607d8-6541-4bc5-8c28-2da0b8cfdc24;
2025-12-02;CASH;CARD_TRANSACTION;TCE             4332548;LOISIRS;SPORT;-24.950000;019adf64-ad77-7fe9-9c3b-2a4ef6683d84;7991
2025-12-02;CASH;CARD_TRANSACTION;VAL VIANDES;ALIMENTATION;BOUCHERIE;-29.530000;019adf5b-14b9-74c2-ad76-813680d8a607;763
2025-12-03;CASH;CARD_TRANSACTION;Amazon.fr*ZX66Q07B4;ACHATS;DIVERS;-5.290000;019ae3ab-8e53-7819-9be7-1683ad4edc10;5999
2025-12-03;CASH;CARD_TRANSACTION;Amazon.fr*ZX9NA3KU4;ACHATS;DIVERS;-11.250000;019ae39a-6a2a-7efb-9600-5515606bc4f3;5999
2025-12-03;CASH;VIBAN_TRANSFER_INBOUND;Incoming transfer from M PAUL DENHEZ;DIVERS;AJUSTEMENTS_ERREURS;1350.000000;019ae37f-0eca-79e4-a580-7d9cfdae363e;
2025-12-03;CASH;CARD_TRANSACTION;OXYBUL;ACHATS;CADEAUX;-30.890000;019ae351-581f-7ec8-a992-c4d3be971e5e;5641
2025-12-04;CASH;CARD_TRANSACTION;E0022API EDS ONE;ALIMENTATION;RESTAURANTS;-2.540000;019ae98d-b059-7b47-990f-af33f1d9a3bb;5814
2025-12-04;CASH;CARD_TRANSACTION;E0022API EDS ONE;ALIMENTATION;RESTAURANTS;-3.960000;019ae98d-b0a5-7e61-b965-8b65ec1030a6;5814
2025-12-06;CASH;CARD_TRANSACTION;4PADEL Valenciennes;LOISIRS;SPORT;-54.000000;019af2d0-227c-7cbf-a4ab-98bfa6ba413f;7999
2025-12-06;CASH;CARD_TRANSACTION;GD FRAIS SENTI;ALIMENTATION;COURSES;-103.390000;019af336-bff9-7bbe-82b3-ab6133cf3206;5411
2025-12-06;CASH;CARD_TRANSACTION;INTERMARCHE;ALIMENTATION;COURSES;-12.470000;019af3f7-179e-7320-ad93-dc1b5a0bd555;5331
2025-12-06;CASH;CARD_TRANSACTION;MARIE BLACHERE;ALIMENTATION;COURSES;-5.700000;019af33c-660a-743a-9c44-6fa15ed7da7b;5462
2025-12-06;CASH;CARD_TRANSACTION;O TERA;ALIMENTATION;COURSES;-38.630000;019af313-7eb0-71cf-bc12-0781b4136fb2;5411
2025-12-06;CASH;CARD_TRANSACTION;SNC LE BIENVENU 4069410;ACHATS;TABAC;-7.700000;019af399-41a8-7cb3-9401-8ae94481aa68;5812
2025-12-06;CASH;CARD_TRANSACTION;SPEED PIZZA;ALIMENTATION;RESTAURANTS;-36.500000;019af412-81ed-7a3c-8742-c57a1ef68a68;5814
2025-12-06;CASH;CARD_TRANSACTION;VPC;ACHATS;CAFE;-320.000000;019af3ff-2e08-7e12-a8ec-6603c7f03721;5732
2025-12-07;CASH;CARD_TRANSACTION;FERME DU PONT DES;ALIMENTATION;COURSES;-53.230000;019af913-d8f2-7211-988f-f3151e89b1e8;5200
2025-12-07;CASH;CARD_TRANSACTION;VINS GOURMANDS;ACHATS;VIN;-333.000000;019af923-9622-7502-abb7-f4f31360179d;5411
2025-12-08;CASH;CARD_TRANSACTION;APPLE.COM/BILL;CHARGES_FIXES;ABONNEMENTS_FIXES;-22.990000;019afd71-3e6e-79c6-a78c-b2a2b66e2a14;5818
2025-12-09;CASH;CARD_TRANSACTION;GD FRAIS SENTI;ALIMENTATION;COURSES;-56.630000;019b0298-f18c-7745-a3f1-e5a70a9d7d17;5411
2025-12-09;CASH;CARD_TRANSACTION;PASS;CHARGES_VARIABLES;TRANSPORTS_COMMUN;-54.000000;019b0330-467a-767c-b3d4-8d467e736efd;7991
2025-12-09;CASH;CARD_TRANSACTION;VAL VIANDES;ALIMENTATION;BOUCHERIE;-24.880000;019b0334-7d67-78f6-84d5-6fb80b924610;763
2025-12-10;CASH;CARD_TRANSACTION;BAR BILTOKI HALLES D;ALIMENTATION;RESTAURANTS;-29.800000;019b0837-daca-7b62-a7b6-7e13d75b789c;5813
2025-12-10;CASH;CARD_TRANSACTION;CIVETTE DE LA TOUR;ACHATS;TABAC;-14.900000;019b073f-d911-76ab-9d5a-369de06367de;5942
2025-12-10;CASH;CARD_TRANSACTION;M'MA TURINETTI;ALIMENTATION;RESTAURANTS;-25.900000;019b085d-6316-702d-a69a-20883bb3c004;5814
2025-12-10;CASH;CARD_TRANSACTION;ZENPARKMailleri 4030783;CHARGES_VARIABLES;STATIONNEMENT_PEAGES;-3.100000;019b07d8-527d-75c5-b3c5-ce8add278639;5072
2025-12-11;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.300000;019b0c83-b979-7dd4-b22b-4a6a859220b1;5499
2025-12-11;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.300000;019b0cb3-7f92-7bc8-9880-8dc4461a6c1f;5499
2025-12-12;CASH;CARD_TRANSACTION;CAFES REMY;ACHATS;CAFE;-16.250000;019b12d7-8a53-793b-ad7d-0bc4bd243a09;763
2025-12-12;CASH;CARD_TRANSACTION;DCTR MARGUERITT;SANTE;MEDECIN;-35.000000;019b12d7-77fd-786e-82e3-7ec5490a6a67;8011
2025-12-12;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.300000;019b11c4-448a-7e37-b3b2-3d9a588dbb06;5499
2025-12-13;CASH;CARD_TRANSACTION;AMZN Mktp FR*ZE3CQ8CH4;ACHATS;DIVERS;-12.470000;019b16e6-1a84-7701-a4ae-ca85faba8787;5999
2025-12-13;CASH;CARD_TRANSACTION;O TERA;ALIMENTATION;COURSES;-15.850000;019b1719-bff9-7f41-9c9a-89b4c0243e98;5411
2025-12-13;CASH;CARD_TRANSACTION;SUR LE POUCE;ALIMENTATION;RESTAURANTS;-25.700000;019b1804-3329-76ba-a02b-638a4df3d0e5;5812
2025-12-13;CASH;CARD_TRANSACTION;TCE             4332548;LOISIRS;SPORT;-15.500000;019b1827-8db0-7f75-bf83-94704f0e8413;7991
2025-12-13;CASH;CARD_TRANSACTION;TCE             4332548;LOISIRS;SPORT;-33.900000;019b1827-b6b7-7f03-a35a-937d12a39f64;7991
2025-12-14;CASH;CARD_TRANSACTION;Amazon.fr*ZE7QQ0T84;ACHATS;DIVERS;-22.620000;019b1c01-86d6-7c8f-a92b-197e1312eea8;5999
2025-12-14;CASH;CARD_TRANSACTION;EURL A MOREAU;ALIMENTATION;BOULANGERIE;-2.400000;019b1d57-c6f7-7a95-86b7-9551db060125;5462
2025-12-14;CASH;CARD_TRANSACTION;LS LA COUR DE LA CHTI;ALIMENTATION;RESTAURANTS;-28.000000;019b1c58-c4e6-7d4e-aa22-677b56aa5f3e;5812
2025-12-14;CASH;CARD_TRANSACTION;SumUp  *SBCONCEPT;ACHATS;SOIN DE LA PERSONNE;-20.000000;019b1c73-3fbb-7ada-9a5d-a940fb730f4b;7230
2025-12-15;CASH;CARD_TRANSACTION;APPLE.COM/BILL;CHARGES_FIXES;ABONNEMENTS_FIXES;-2.990000;019b210b-2de6-74f2-ab90-a0e680eee7a0;5818
2025-12-16;CASH;CARD_TRANSACTION;VAL VIANDES;ALIMENTATION;BOUCHERIE;-26.200000;019b284f-649d-7979-bade-08c499c1f3c0;763
2025-12-17;CASH;CARD_TRANSACTION;BAR BILTOKI HALLES D;ALIMENTATION;RESTAURANTS;-4.500000;019b2c54-07b3-73ec-8c00-acf5402de8eb;5813
2025-12-17;CASH;CARD_TRANSACTION;BAR BILTOKI HALLES D;ALIMENTATION;RESTAURANTS;-8.000000;019b2c54-0ad8-75e7-98e1-af03df9356c1;5813
2025-12-17;CASH;CARD_TRANSACTION;BAR BILTOKI HALLES D;ALIMENTATION;RESTAURANTS;-8.000000;019b2c54-0c80-7d6b-af16-3bdcf20b129c;5813
2025-12-17;CASH;CARD_TRANSACTION;CIVETTE DE LA TOUR;ACHATS;TABAC;-12.400000;019b2ba4-560b-7d63-97b9-a725668862fa;5942
2025-12-17;CASH;CARD_TRANSACTION;E0022API EDS ONE;ALIMENTATION;RESTAURANTS;-2.640000;019b2c99-089a-7a49-ae74-64edd83edfae;5814
2025-12-17;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-5.000000;019b2ba1-2a0e-7416-9cb5-268fbab3d056;5499
2025-12-17;CASH;CARD_TRANSACTION;TOTAL           4379751;CHARGES_VARIABLES;CARBURANT;-28.780000;019b2c10-3d24-7cfe-9a7c-cfaf3f645b5a;5541
2025-12-18;CASH;CARD_TRANSACTION;ZENPARKMailleri 4030783;CHARGES_VARIABLES;STATIONNEMENT_PEAGES;-3.900000;019b311d-b72b-771f-b2bc-0a7dae8e35d3;5072
2025-12-19;CASH;CARD_TRANSACTION;AMAZON PRIME FR 2469664;CHARGES_FIXES;ABONNEMENTS_FIXES;-6.990000;019b3698-5935-7a46-8e05-ccdc419eb8cf;5965
2025-12-19;CASH;CARD_TRANSACTION;Zettle_*Sahil;ALIMENTATION;RESTAURANTS;-69.700000;019b3707-be13-76f2-beb1-89b806d4ef0d;7011
2025-12-20;CASH;CARD_TRANSACTION;WEB TENNIS  SC;LOISIRS;SPORT;-115.000000;019b3c71-5109-7981-9040-9c6854abdc15;5941
2025-12-21;CASH;CARD_TRANSACTION;ELECTRO DEPOT FRANCE;MAISON;EQUIPEMENT_ELECTROMENAGER;-219.970000;019b4013-0075-7ef1-a23a-119c29842330;5311
2025-12-21;CASH;CARD_TRANSACTION;EURL A MOREAU;ALIMENTATION;BOULANGERIE;-5.450000;019b4167-8356-7a99-ad3f-d63020e38549;5462
2025-12-21;CASH;CARD_TRANSACTION;LEROY MERLIN    4986085;MAISON;BRICOLAGE;-58.000000;019b416f-73e7-7d6d-84f4-8bd3a98247a0;5231
2025-12-21;CASH;CARD_TRANSACTION;MARIE BLACHERE;ALIMENTATION;COURSES;-1.100000;019b4085-9911-7a24-b226-071311db8505;5462
2025-12-23;CASH;TRANSFER_INSTANT_INBOUND;Incoming transfer from Paul Denhez (FR802043302626N269793476611);DIVERS;AJUSTEMENTS_ERREURS;400.000000;019b4d3c-6f01-7231-a414-8e15b9fb1f7e;
2025-12-23;CASH;CARD_TRANSACTION;PICARD SA 335   4998985;ALIMENTATION;COURSES;-15.640000;019b4ae4-ba54-7ac0-9f44-0e81aaeb1e5a;5411
2025-12-23;CASH;CARD_TRANSACTION;TCE             4332548;LOISIRS;SPORT;-7.900000;019b4be2-b147-76d1-922a-ade32f03ec1a;7991
2025-12-23;CASH;CARD_TRANSACTION;VAL VIANDES;ALIMENTATION;BOUCHERIE;-24.190000;019b4bde-adc3-761a-b85d-e1deafc9de16;763
2025-12-24;CASH;CARD_TRANSACTION;BIE DE LA HALLE;ALIMENTATION;BOUCHERIE;-26.620000;019b5112-193f-79c6-b2cc-6eecf10a8bb0;763
2025-12-24;CASH;CARD_TRANSACTION;TOTAL           4379751;CHARGES_VARIABLES;CARBURANT;-22.930000;019b5017-a220-7454-99d1-eaf84a0f87cd;5541
2025-12-25;CASH;CARD_TRANSACTION;PICARD SA 335   4998985;ALIMENTATION;COURSES;-5.980000;019b54f2-f275-785f-bbeb-33265a6a8a78;5411
2025-12-25;CASH;CARD_TRANSACTION;VAL VIANDES;ALIMENTATION;BOUCHERIE;-99.100000;019b5562-dfac-7357-8074-76834165bce3;763
2025-12-27;CASH;CARD_TRANSACTION;AMAZON PAYMENTS 2441535;ACHATS;DIVERS;-195.980000;019b5f1a-2304-7ef7-aaa4-d51774b30377;5965
2025-12-27;CASH;CARD_TRANSACTION;GD FRAIS SENTI;ALIMENTATION;COURSES;-29.900000;019b5f06-c6fd-772b-b4bd-87d0cc174821;5411
2025-12-27;CASH;CARD_TRANSACTION;GD FRAIS SENTI;ALIMENTATION;COURSES;-12.970000;019b5f06-c70e-729a-b970-1cc00e1b89ea;5411
2025-12-27;CASH;CARD_TRANSACTION;LEROY MERLIN    4986085;MAISON;BRICOLAGE;-19.000000;019b5f0c-99f1-72d8-a5c9-240ce2507557;5231
2025-12-27;CASH;CARD_TRANSACTION;SAS BETA;ALIMENTATION;BOULANGERIE;-2.200000;019b5f5e-9ca0-7193-88d0-6c1787bea2d2;5462
2025-12-28;CASH;CARD_TRANSACTION;NYX*VALENCIENNESPLACEDA;ACHATS;DIVERS;-0.500000;019b6438-7107-7119-9c48-5028a1bcb328;5499
2025-12-29;CASH;CARD_TRANSACTION;EL GANA;ALIMENTATION;RESTAURANTS;-5.000000;019b6993-d6c0-7d6a-8c23-761fc67aab5d;5499
2025-12-29;CASH;CARD_TRANSACTION;EL GANA;ALIMENTATION;RESTAURANTS;-6.600000;019b69d1-d356-7bb9-bcc2-fa89bfa74f70;5499
2025-12-29;CASH;CARD_TRANSACTION;SPEED PIZZA;ALIMENTATION;RESTAURANTS;-32.000000;019b69e4-212e-7cd2-b9dc-1b5e69298d29;5814
2025-12-30;CASH;CARD_TRANSACTION;VAL VIANDES;ALIMENTATION;BOUCHERIE;-23.070000;019b6f8a-bf7b-7d0b-8cdb-915afef3b140;763
2025-12-31;CASH;CARD_TRANSACTION;BIE DE LA HALLE;ALIMENTATION;BOUCHERIE;-23.060000;019b74c4-1a49-79fe-a7f1-56d34aa785f8;763
2025-12-31;CASH;CARD_TRANSACTION;DELEBARRE VINS;ACHATS;CADEAUX;-30.000000;019b73e9-f902-7be6-adb1-1a280c50cb36;5411
2025-12-31;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-5.000000;019b7385-9ebc-79ab-b962-dcecf8ffaf78;5499
2025-12-31;CASH;CARD_TRANSACTION;PASS;CHARGES_VARIABLES;TRANSPORTS_COMMUN;-4.000000;019b74c6-edc2-7acf-9e20-d152008a2bbc;7991
2025-12-31;CASH;CARD_TRANSACTION;PASS;CHARGES_VARIABLES;TRANSPORTS_COMMUN;-7.500000;019b74c6-edd1-78cc-b3fd-58f3d509fd11;7991
2026-01-01;CASH;CARD_TRANSACTION;ILEVIA DAT TRAM;BANQUE;INTERETS;-3.800000;019b7967-df8c-7a2d-b05c-e6331ba3b99c;4111
2026-01-01;CASH;INTEREST_PAYMENT;Interest payment for payout collection 019b77ea-82d2-7a66-9563-49553de0f821;CHARGES_VARIABLES;TRANSPORTS_COMMUN;1.410000;019b7a0c-8895-7348-be16-16d36e00da3a;
2026-01-01;CASH;CARD_TRANSACTION;LE COIN DES AMIS;BANQUE;INTERETS;-12.400000;019b7971-48a9-7001-8c2d-76193fc2ee19;5813
2026-01-01;CASH;BENEFITS_SAVEBACK;Saveback cash reward 2ff9907a-5540-4e7b-9295-0a8ac64ba412 for reservation: e6c6309c-e65b-4971-a696-61ea6c47473f;ALIMENTATION;RESTAURANTS;15.000000;019b7773-a75e-7621-840e-71d9ed9d313e;
2026-01-02;TRADING;BUY;Savings plan execution LU1681048804 Amundi Index Solutions - Amundi S&P 500 Swap UCITS ETF EUR Acc, quantity: 0.129433;EPARGNE;INVESTISSEMENTS;-15.00;07215a94-05c6-4bfb-8a5b-d270557bb412;
2026-01-03;CASH;TRANSFER_INSTANT_INBOUND;Incoming transfer from M PAUL DENHEZ (FR7616275500000412664270831);DIVERS;AJUSTEMENTS_ERREURS;200.000000;019b84e8-b053-74be-b679-6ad4a9bd86fe;
2026-01-03;CASH;TRANSFER_INSTANT_INBOUND;Incoming transfer from M PAUL DENHEZ (FR7616275500000412664270831);DIVERS;AJUSTEMENTS_ERREURS;1.000000;019b84e6-f86a-7122-9764-c614578ff81c;
2026-01-03;CASH;CARD_TRANSACTION;PATHE Valencien 4094033;LOISIRS;SORTIES;-8.000000;019b8419-9247-7ceb-9f41-13a14d367699;7832
2026-01-05;CASH;TRANSFER_INSTANT_INBOUND;Incoming transfer from Paul Denhez (FR802043302626N269793476611);DIVERS;AJUSTEMENTS_ERREURS;1350.000000;019b8fa8-bcf8-7663-b6c5-7038de01c45f;
2026-01-05;CASH;CARD_TRANSACTION;TOTAL           4380175;CHARGES_VARIABLES;CARBURANT;-22.110000;019b8d74-1467-784b-af1f-32037a93762e;5541
2026-01-06;CASH;CARD_TRANSACTION;AMAZON PAYMENTS 2441535;ACHATS;DIVERS;-56.990000;019b9312-bc94-7f63-b794-d3ffe0373f0b;5965
2026-01-06;CASH;CARD_TRANSACTION;VAL VIANDES;ALIMENTATION;BOUCHERIE;-3.720000;019b9367-e914-75e3-b5d5-355601ae9b73;763
2026-01-07;CASH;CARD_TRANSACTION;ALIEXPRESS.COM;ACHATS;DIVERS;-0.990000;019b974b-9942-7771-8e20-0a3fe667e3d8;5999
2026-01-07;CASH;CARD_TRANSACTION;aliexpress;CHARGES_FIXES;ABONNEMENTS_FIXES;-5.990000;019b97af-fd69-7aad-af41-fe36168fb0f6;5311
2026-01-07;CASH;CARD_TRANSACTION;PASS;LOISIRS;SORTIES;-36.000000;019b9843-d447-7b32-86d6-953747de2d3c;7991
2026-01-09;CASH;CARD_TRANSACTION;APPLE.COM/BILL;CHARGES_FIXES;ABONNEMENTS_FIXES;-22.990000;019ba1ea-facd-7b11-9213-ee82027ef8cd;5818
2026-01-09;CASH;TRANSFER_INBOUND;Incoming transfer from M PAUL DENHEZ (FR7616275500000412664270831);DIVERS;AJUSTEMENTS_ERREURS;5000.000000;019ba20b-f832-7750-96ff-54be3627fc15;
2026-01-10;CASH;CARD_TRANSACTION;GD FRAIS SENTI;ALIMENTATION;COURSES;-51.490000;019ba764-f544-7b45-8484-0596de84ff93;5411
2026-01-10;CASH;CARD_TRANSACTION;MARIE BLACHERE;ALIMENTATION;BOULANGERIE;-2.600000;019ba781-339e-79d0-a851-ff34d1e203c4;5462
2026-01-10;CASH;CARD_TRANSACTION;TSBV;LOISIRS;SPORT;-7.900000;019ba7fc-288e-73ea-9f3a-0e8ce8bd746b;7991
2026-01-11;CASH;CARD_TRANSACTION;EURL A MOREAU;ALIMENTATION;BOULANGERIE;-15.200000;019bad32-0428-73e1-aac2-fafb83eaa2f1;5462
2026-01-12;TRADING;BUY;Buy trade FR0000121014 LVMH               EO 0,3, quantity: 0.030625;BANQUE;INTERETS;-20.00;03b159b3-8c30-4bdd-ad4b-e0b627e8c1e4;
2026-01-12;CASH;GIFT;Gift lottery order: Transfer from marketing stock perk to recipient cash account for lottery 16f54a22-4f44-4479-98ed-b843c3eaefcc;BANQUE;FRAIS;21.000000;019bb195-e23d-7067-ab19-d311a07b2cdd;
2026-01-13;CASH;CARD_TRANSACTION;VAL VIANDES;ALIMENTATION;BOUCHERIE;-17.030000;019bb75d-cbe7-72d9-aba2-5736c2c04dde;763
2026-01-14;CASH;CARD_TRANSACTION;AMAZON PAYMENTS 2441535;ACHATS;DIVERS;-91.300000;019bbc15-1fae-7de1-b4e2-87bc95fad9e5;5965
2026-01-15;CASH;CARD_TRANSACTION;APPLE.COM/BILL;CHARGES_FIXES;ABONNEMENTS_FIXES;-2.990000;019bc0b2-7bfa-7777-ac89-b3cf62ee5e34;5818
2026-01-15;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.300000;019bc0c2-1ca3-788a-99c1-09f46160e5fb;5499
2026-01-15;CASH;CARD_TRANSACTION;TOTAL           4382361;CHARGES_VARIABLES;CARBURANT;-25.000000;019bc133-b5de-72f0-a0dc-e075707b2e23;5541
2026-01-17;CASH;CARD_TRANSACTION;AMAZON EU SARL  2090401;ACHATS;DIVERS;-7.560000;019bcbe0-9940-7a31-affb-0f0b19204eb6;5965
2026-01-17;CASH;CARD_TRANSACTION;GD FRAIS SENTI;ALIMENTATION;COURSES;-29.440000;019bcb81-d9cf-7eb1-b16f-ddfe6ee269f3;5411
2026-01-17;CASH;CARD_TRANSACTION;MARIE BLACHERE;ALIMENTATION;BOULANGERIE;-4.900000;019bcb8f-a3ab-7829-bd47-5905265c14df;5462
2026-01-18;CASH;CARD_TRANSACTION;VINS GOURMANDS;ACHATS;VIN;-72.200000;019bd15f-3394-77ea-b300-155ba0057ece;5411
2026-01-19;CASH;CARD_TRANSACTION;AMAZON PRIME FR 2469664;ACHATS;DIVERS;-6.990000;019bd59b-7d69-7ef7-97c5-0057517b7853;5965
2026-01-19;CASH;CARD_TRANSACTION;FF ATHLETISME;LOISIRS;SPORT;-5.000000;019bd604-5fb0-7b2c-8528-f55a86d4b231;7997
2026-01-19;CASH;CARD_TRANSACTION;SPORT TICKETING 4035015;LOISIRS;SPORT;-10.870000;019bd5a9-4a7a-7563-b62f-faae50f95196;7372
2026-01-20;CASH;CARD_TRANSACTION;UNIQLO EUROPE LTD;ACHATS;VETEMENTS;-14.800000;019bdab8-af32-7efb-a1cb-a4f25bd2c7de;5651
2026-01-20;CASH;CARD_TRANSACTION;VAL VIANDES;ALIMENTATION;BOUCHERIE;-15.670000;019bdb71-4dbe-7131-8d9c-c6d33ca8fec8;763
2026-01-21;CASH;CARD_TRANSACTION;AMAZON EU SARL  2090401;ACHATS;DIVERS;-61.600000;019be03c-d7b8-7921-9e49-876724035e24;5965
2026-01-21;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-5.000000;019bdfcf-8d2c-7b31-8c52-02e8641b01a1;5499
2026-01-22;CASH;CARD_TRANSACTION;TSBV;LOISIRS;SPORT;-7.900000;019be5de-f4c7-7c81-ba2c-987be37e75f7;7991
2026-01-22;CASH;CARD_TRANSACTION;TSBV;LOISIRS;SPORT;-6.500000;019be5de-f50c-7e4a-bcc8-3fb1f2584a5b;7991
2026-01-24;CASH;CARD_TRANSACTION;AMAZON EU SARL  2090401;ACHATS;DIVERS;-23.900000;019befed-7820-768a-aef3-fd260434d135;5965
2026-01-24;CASH;CARD_TRANSACTION;O TERA;ALIMENTATION;COURSES;-61.050000;019bef61-8df3-7fe5-98ae-d6929d4d3f67;5411
2026-01-24;CASH;CARD_TRANSACTION;SumUp  *SBCONCEPT;ACHATS;SOIN DE LA PERSONNE;-25.000000;019bef76-73ca-7453-82f5-29990817af2b;7230
2026-01-25;CASH;CARD_TRANSACTION;EURL A MOREAU;ALIMENTATION;BOULANGERIE;-4.750000;019bf561-81c2-7a91-bd2c-65d6303408b9;5462
2026-01-25;CASH;CARD_TRANSACTION;GD FRAIS SENTI;ALIMENTATION;COURSES;-4.180000;019bf4b7-ee4b-74dd-9df8-e71ada4e727e;5411
2026-01-25;CASH;CARD_TRANSACTION;GD FRAIS SENTI;ALIMENTATION;COURSES;-42.420000;019bf4b7-ee8f-7d4c-bc5d-12a542614770;5411
2026-01-25;CASH;CARD_TRANSACTION;MARIE BLACHERE;ALIMENTATION;COURSES;-2.600000;019bf4b6-909b-7fb5-8482-41a94d099391;5462
2026-01-25;CASH;CARD_TRANSACTION;PHARMACIE DE LA 2030766;SANTE;PHARMACIE;-10.100000;019bf451-9c65-762e-84f8-2aa00923c8fb;5912
2026-01-27;CASH;CARD_TRANSACTION;VAL VIANDES;ALIMENTATION;BOUCHERIE;-17.980000;019bff90-d63f-7deb-bafb-5c25a0e6e504;763
2026-01-29;CASH;CARD_TRANSACTION;BAR BILTOKI HALLES D;ALIMENTATION;RESTAURANTS;-10.000000;019c09b8-0d8e-73da-a128-5dc24066e7cc;5813
2026-01-29;CASH;CARD_TRANSACTION;BAR BILTOKI HALLES D;ALIMENTATION;RESTAURANTS;-8.000000;019c09b8-0d9e-788e-995c-65353e3b0586;5813
2026-01-29;CASH;CARD_TRANSACTION;BAR BILTOKI HALLES D;ALIMENTATION;RESTAURANTS;-4.500000;019c09b8-0dcd-7cc1-9c4d-e2c192441741;5813
2026-01-29;CASH;CARD_TRANSACTION;BAR BILTOKI HALLES D;ALIMENTATION;RESTAURANTS;-8.000000;019c09b8-11a9-70d2-a0c8-2c70f223a5bb;5813
2026-01-29;CASH;CARD_TRANSACTION;CAFE BONHEUR;ALIMENTATION;RESTAURANTS;-8.300000;019c09f9-6715-7e40-b55f-790a58b38e19;5813
2026-01-29;CASH;CARD_TRANSACTION;NYX*LILLEAUTOMATIQUEDIST;ACHATS;CAFE;-0.300000;019c08d5-9b8f-7fe0-bebc-015a4039d183;5499
2026-01-29;CASH;CARD_TRANSACTION;TOTAL           4379751;CHARGES_VARIABLES;CARBURANT;-24.530000;019c095b-5a57-7d7a-8546-a880753ee287;5541
2026-01-29;CASH;CARD_TRANSACTION;ZENPARKMailleri 4030783;CHARGES_VARIABLES;STATIONNEMENT_PEAGES;-5.900000;019c09a6-efe8-7129-98da-c8f60039296e;5072
2026-01-30;CASH;TRANSFER_INSTANT_INBOUND;Incoming transfer from M PAUL DENHEZ (FR7616275500000412664270831);DIVERS;AJUSTEMENTS_ERREURS;838.060000;019c0f4a-2dda-772c-8440-655967c50484;
2026-01-30;CASH;TRANSFER_INSTANT_INBOUND;Incoming transfer from M PAUL DENHEZ (FR7616275500000412664270831);DIVERS;AJUSTEMENTS_ERREURS;392.770000;019c0f4b-04df-75d7-a891-530fca6a9fd8;
2026-01-31;CASH;CARD_TRANSACTION;EURL A MOREAU;ALIMENTATION;BOULANGERIE;-5.550000;019c1473-4875-7150-8f18-976a325bcb04;5462
2026-02-01;CASH;CARD_TRANSACTION;GD FRAIS SENTI;ALIMENTATION;COURSES;-52.040000;019c18c2-96f3-73c1-85a8-82665bcf71ee;5411
2026-02-01;CASH;INTEREST_PAYMENT;Interest payment for payout collection 019c16f5-1dce-761c-9aed-f65f76e415e9;BANQUE;INTERETS;8.050000;019c170b-1994-7168-9e83-21707a68df5a;
2026-02-01;CASH;CARD_TRANSACTION;LEROY MERLIN    4986085;MAISON;BRICOLAGE;-59.370000;019c18d7-9772-74c6-bfc7-7c4e84b025e8;5231
2026-02-02;TRADING;BUY;Savings plan execution LU1681048804 Amundi Index Solutions - Amundi S&P 500 Swap UCITS ETF EUR Acc, quantity: 0.425985;EPARGNE;INVESTISSEMENTS;-50.00;0f2e1698-9296-4be2-9ab5-31a019597a18;
2026-02-02;CASH;CARD_TRANSACTION;VAL VIANDES;ALIMENTATION;BOUCHERIE;-21.020000;019c1e51-3515-77a8-89f4-321b706945a6;763
2026-02-03;CASH;TRANSFER_INBOUND;Incoming transfer from M PAUL DENHEZ (FR7616275500000412664270831);DIVERS;AJUSTEMENTS_ERREURS;2500.000000;019c22cd-b988-7606-a7db-649bcf4f7f3d;
2026-02-03;CASH;CARD_TRANSACTION;RIGOLETTO;ALIMENTATION;RESTAURANTS;-34.000000;019c22bf-bae8-7e0a-adbb-d4abee44d0d0;5812
2026-02-03;CASH;CARD_TRANSACTION;TSBV;LOISIRS;SPORT;-8.500000;019c23ba-d7a3-7ad1-91b9-dac494946927;7991
2026-02-04;CASH;CARD_TRANSACTION;Amazon.fr*695A60NC5;ACHATS;DIVERS;-19.740000;019c2867-3113-755c-bbd7-0e3254411e4e;5999
